A	*a	+Prep
chaschun	chaschun	+Noun+Fem+Sg
da	da	+Prep
la	il	+Art+Def+Fem+Sg
davosa	davos	+Adj+Fem+Sg
sesida	seser	+Verb+PastPart+Fem+Sg
da	da	+Prep
l’	il	+Art+Def+Masc+Sg+Apo
onn	onn	+Noun+Masc+Sg
ha	avair	+Verb+PresInd+3P+Sg
il	il	+Art+Def+Masc+Sg
directori	directori	+Noun+Masc+Sg
da	da	+Prep
la	il	+Art+Def+Fem+Sg
partida	partida	+Noun+Fem+Sg
cristiandemocratica	cristiandemocratic	+Adj+Fem+Sg 
(	(	+Punc+Beg
pcd	pcd	+Abbr
)	)	+Punc+End
dal	da	+Prep^|+Art+Def+Masc+Sg
Grischun	Grischun	+Prop
tratg	trair	+Verb+PastPart+Masc+Sg
ina	in	+Art+Indef+Fem+Sg
bilantscha	bilantscha	+Noun+Fem+Sg
positiva	positiv +Adj+Fem+Sg
per	per	+Prep
2006	2006	+Dig+Card
.	.	+Sent

In	*in	+Art+Indef+Masc+Sg
fatg	fatg	+Noun+Masc+Sg
fitg	fitgar	+Verb+PresInd+1P+Sg
legraivel	legraivel	+Adj+Masc+Sg
è	esser	+Verb+PresInd+3P+Sg
la	il	+Art+Def+Fem+Sg
fundaziun	fundaziun	+Noun+Fem+Sg
per	per	+Prep
innovaziuns	innovaziun	+Noun+Fem+Pl
,	,	+CM
svilup	svilup	+Noun+Masc+Sg
e	e	+Conj
perscrutaziun	perscrutaziun	+Noun+Fem+Sg
.	.	+Sent

Questa	*quest	+Pron+Dem+Fem+Sg
fundaziun	fundaziun	+Noun+Fem+Sg
è	esser	+Verb+PresInd+3P+Sg
vegnida	vegnir	+Verb+PastPart+Fem+Sg
lantschada	lantschar	+Verb+PastPart+Fem+Sg
da	da	+Prep
la	il	+Art+Def+Fem+Sg
Regenza	*regenza	+Noun+Fem+Sg
sco	sco	+Conj
cunterproposta	cunterproposta	+Noun+Fem+Sg
vers	vers	+Prep
il	il	+Art+Def+Masc+Sg
fond	fond	+Noun+Masc+Sg
d’	da	+Prep+Apo
innovaziun	innovaziun	+Noun+Fem+Sg
per	per	+Prep
il	il	+Art+Def+Masc+Sg
Grischun	Grischun	+Prop
dals	da	+Prep^|+Art+Def+Masc+Pl
giuvens	giuven	+Adj+Masc+Pl
cristiandemocrats	cristiandemocrat	+Noun+Masc+Pl
da	da	+Prep
noss	noss	+Pron+Poss^DB+Noun+Masc+Pl
Chantun	*chantun	+Noun+Masc+Sg
.	.	+Sent

Quella	*quel	+Pron+Dem+Fem+Sg
iniziativa	iniziativa	+Noun+Fem+Sg
ed	e	+Conj+Apo
ina	in	+Art+Indef+Fem+Sg
proposta	proposta	+Noun+Fem+Sg
da	da	+Prep
la	il	+Art+Def+Fem+Sg
fracziun	fracziun	+Noun+Fem+Sg
da	da	+Prep
la	il	+Art+Def+Fem+Sg
pcd	pcd	+Abbr
en	en	+Prep
il	il	+Art+Def+Masc+Sg
Cussegl	*cussegl	+Noun+Masc+Sg
grond	grond	+Adj+Masc+Sg
,	,	+CM
ch’	che	+Pron+Rel+Apo
era	esser	+Verb+ImpInd+1P+Sg
dentant	dentant	+Adv
vegnida	vegnir	+Verb+PastPart+Fem+Sg
refusada	refusar	+Verb+PastPart+Fem+Sg
da	da	+Prep
quel	quel	+Pron+Dem+Masc+Sg
,	,	+CM
prevedevan	prevedevar	+Verb+PresInd+3P+Pl
dad	da	+Prep+Apo
applitagar	applitagar	+Verb+Inf
ils	il	+Art+Def+Masc+Pl
retgavs	retgav	+Noun+Masc+Pl
extraordinaris	extraordinari	+Adj+Masc+Pl
da	da	+Prep
la	il	+Art+Def+Fem+Sg
Banca	*banca	+Noun+Fem+Sg
chantunala	chantunal	+Adj+Fem+Sg
grischuna	grischuna	+Adj+Fem+Sg
per	per	+Prep
projects	project	+Noun+Masc+Pl
spezials	spezial	+Adj+Masc+Pl
che	che	+Pron+Rel
avevan	avair	+Verb+ImpInd+3P+Pl
sco	sco	+Conj
finamira	finamira	+Noun+Fem+Sg
la	il	+Art+Def+Fem+Sg
creaziun	creaziun	+Noun+Fem+Sg
da	da	+Prep
valur	valur	+Noun+Fem+Sg
e	e	+Conj
da	da	+Prep
dar	dar	+Verb+Inf
impuls	impuls	+Noun+Masc+Pl
innovativs	innovativ	+Adj+Masc+Pl
e	e	+Conj
durabels	durabel	+Adj+Masc+Pl
.	.	+Sent

Tenor	*tenor	+Prep
la	il	+Art+Def+Fem+Sg
pcd	pcd	+Abbr
realisescha	realisar	+Verb+PresInd+3P+Sg
questa	quest	+Pron+Dem+Fem+Sg
fundaziun	fundaziun	+Noun+Fem+Sg
per	per	+Prep
la	il	+Art+Def+Fem+Sg
gronda	grond	+Adj+Fem+Sg
part	part	+Noun+Fem+Sg
sias	ses	+Pron+Poss+Fem+Pl
intenziuns	intenziun	+Noun+Fem+Pl
.	.	+Sent

In	*in	+Art+Indef+Masc+Sg
ulteriur	ulteriur	+Adj+Masc+Sg
fatg	far	+Verb+PastPart+Masc+Sg
dètg	dètg	+Adv	#PROBLEM
legraivel	legraivel	+Adj+Masc+Sg
per	per	+Prep
la	il	+Art+Def+Fem+Sg
pcd	pcd	+Abbr
è	esser	+Verb+PresInd+3P+Sg
che	che	+Subj
la	il	+Art+Def+Fem+Sg
famiglia	famiglia	+Noun+Fem+Sg
e	e	+Conj
pèrs	pèr	+Noun+Masc+Pl
vegnan	vegnir	+Verb+PresInd+3P+Pl
favorisads	favorisar	+Verb+PastPart+Masc+Pl
tras	tras	+Prep
la	il	+Art+Def+Fem+Sg
taglia	taglia	+Noun+Fem+Sg
.	.	+Sent

Tar	*tar	+Prep
la	il	+Art+Def+Fem+Sg
novissima	novissim	+Adj+Fem+Sg
revisiun	revisiun	+Noun+Fem+Sg
da	da	+Prep
la	il	+Art+Def+Fem+Sg
lescha	lescha	+Noun+Fem+Sg
da	da	+Prep
taglia	taglia	+Noun+Fem+Sg
chantunala	chantunal	+Adj+Fem+Sg
è	esser	+Verb+PresInd+3P+Sg
quai	quai	+Pron+Dem
vegnì	vegnir	+Verb+PastPart+Masc+Sg
resguardà	resguardar	+Verb+PastPart+Masc+Sg
sco	sco	+Conj
la	il	+Art+Def+Fem+Sg
pcd	pcd	+Abbr
aveva	avair	+Verb+ImpInd+3P+Sg
gì	avair	+Verb+PastPart+Masc+Sg
proponì	proponer	+Verb+PastPart+Masc+Sg
2004	2004	+Dig+Card
tras	tras	+Prep
ina	in	+Art+Indef+Fem+Sg
intervenziun	intervenziun	+Noun+Fem+Sg
en	en	+Prep
il	il	+Art+Def+Masc+Sg
Cussegl	*cussegl	+Noun+Masc+Sg
grond	grond	+Adj+Masc+Sg
.	.	+Sent

Pertutgant	Pertutgant	+Prep
las	il	+Art+Def+Fem+Pl
votaziuns	votaziun	+Noun+Fem+Pl
federalas	federal	+Adj+Fem+Pl
è	esser	+Verb+PresInd+3P+Sg
la	il	+Art+Def+Fem+Sg
pcd	pcd	+Abbr
fitg	fitg	+Adv
satisfatga	satisfatg	+Adj+Fem+Sg
ch’	che	+Subj+Apo
ins	ins	+Pron+Indef
ha	avair	+Verb+PresInd+3P+Sg
realisà	realisar	+Verb+PastPart+Masc+Sg
cun	cun	+Prep
la	il	+Art+Def+Fem+Sg
lescha	lescha	+Noun+Fem+Sg
davart	davart	+Prep
ils	il	+Art+Def+Masc+Pl
supplements	supplement	+Noun+Masc+Pl
da	da	+Prep
famiglia	famiglia	+Noun+Fem+Sg
in	in	+Art+Indef+Masc+Sg
postulat	postulat	+Noun+Masc+Sg
central	central	+Adj+Masc+Sg
dad	da	+Prep+Apo
ella	ella	+Pron+Pers+Acc+Ton+3P+Fem+Sg
.	.	+Sent

Era	*era	+Adv
è	esser	+Verb+PresInd+3P+Sg
ella	ella	+Pron+Pers+Acc+Ton+3P+Fem+Sg
loscha	loscha	+Noun+Fem+Sg	# PROBLEM
ch’	che	+Subj+Apo
il	il	+Art+Def+Masc+Sg
Chantun	*chantun	+Noun+Masc+Sg
grischun	grischun	+Adj+Masc+Sg
ha	avair	+Verb+PresInd+3P+Sg
sancziunà	sancziunar	+Verb+PastPart+Masc+Sg
–	–	+Punc
cun	cun	+Prep
ferm	ferm	+Adj+Masc+Sg
sustegn	sustegn	+Noun+Masc+Sg
da	da	+Prep
la	il	+Art+Def+Fem+Sg
pcd	pcd	+Abbr
–	–	+Punc
la	il	+Art+Def+Fem+Sg
lescha	lescha	+Noun+Fem+Sg
per	per	+Prep
gidar	gidar	+Verb+Inf
ils	il	+Art+Def+Masc+Pl
pajais	pajar	+Verb+PresInd+2P+Pl
da	da	+Prep
l’	il	+Art+Def+Fem+Sg+Apo
Europa	Europa	+Prop
da	da	+Prep
l’	il	+Art+Def+Masc+Sg+Apo
ost	ost	+Noun+Masc+Sg
–	–	+Punc
e	e	+Conj
quai	quai	+Pron+Dem
cunter	cunter	+Prep
il	il	+Art+Def+Masc+Sg
trend	trend	+Noun+Masc+Sg+UNKNOWN
en	en	+Prep
tut	tut	+Pron+Indef+Masc+Sg
tschels	tschel	+Pron+Dem+Masc+Pl
Chantuns	*chantun	+Noun+Masc+Pl
da	da	+Prep
la	il	+Art+Def+Fem+Sg
Svizra	Svizra	+Prop
orientala	oriental	+Adj+Fem+Sg
.	.	+Sent

Tar	*tar	+Prep
las	il	+Art+Def+Fem+Pl
elecziuns	elecziun	+Noun+Fem+Pl
cirquitalas	cirquital	+Adj+Fem+Pl
2006	2006	+Dig+Card
è	esser	+Verb+PresInd+3P+Sg
la	il	+Art+Def+Fem+Sg
pcd	pcd	+Abbr
sa	sai	+Pron+Refl+AccDat+Aton+3P+MF+Sg
movida	movida	+Noun+Fem+Sg+UNKNOWN	# PROBLEM
entaifer	entaifer	+Adv
las	il	+Art+Def+Fem+Pl
fluctuaziuns	fluctuaziun	+Noun+Fem+Pl
da	da	+Prep
las	il	+Art+Def+Fem+Pl
davosas	davos	+Adj+Fem+Pl
tschernas	tscherna	+Noun+Fem+Pl
.	.	+Sent

D’	*da	+Prep+Apo
ina	in	+Art+Indef+Fem+Sg
vart	vart	+Noun+Fem+Sg
hai	avair	+Verb+PresInd+3P+Sg^|+Pron+Pers+Nom+1P+MF+Sg
dà	dar	+Verb+PastPart+Masc+Sg
–	–	+Punc
per	per	+Prep
part	part	+Noun+Fem+Sg
tar	tar	+Prep
resultats	resultat	+Noun+Masc+Pl
piz	piz	+Noun+Masc+Sg
a	a	+Prep
cup	cup	+Noun+Masc+Sg
–	–	+Punc
ina	in	+Art+Indef+Fem+Sg
sperdita	sperdita	+Noun+Fem+Sg
da	da	+Prep
tschintg	tschintg	+Num+Card+MF
mandats	mandat	+Noun+Masc+Pl
.	.	+Sent

Ma	*ma	+Conj
tuttina	tuttina	+Adv
è	esser	+Verb+PresInd+3P+Sg
la	il	+Art+Def+Fem+Sg
fracziun	fracziun	+Noun+Fem+Sg
cristiandemocratica	cristiandemocratic	+Adj+Fem+Sg
restada	restar	+Verb+PastPart+Fem+Sg
la	il	+Art+Def+Fem+Sg
pli	pli	+Adv
ferma	ferm	+Adj+Fem+Sg
en	en	+Prep
il	il	+Art+Def+Masc+Sg
Cussegl	*cussegl	+Noun+Masc+Sg
grond	grond	+Adj+Masc+Sg
.	.	+Sent

En	*en	+Prep
vista	vista	+Noun+Fem+Sg
a	a	+Prep
l’	il	+Art+Def+Masc+Sg+Apo
onn	onn	+Noun+Masc+Sg
2007	2007	+Dig+Card
–	–	+Punc
che	che	+Subj
ha	avair	+Verb+PresInd+3P+Sg
gist	gist	+Adv
entschavì	entschaiver	+Verb+PastPart+Masc+Sg
–	–	+Punc
avertescha	avertir	+Verb+PresInd+3P+Sg
la	il	+Art+Def+Fem+Sg
pcd	pcd	+Abbr
da	da	+Prep
las	il	+Art+Def+Fem+Pl
tendenzas	tendenza	+Noun+Fem+Pl
da	da	+Prep
centralisaziun	centralisaziun	+Noun+Fem+Sg
tar	tar	+Prep
Confederaziun	*confederaziun	+Noun+Fem+Sg
e	e	+Conj
Chantun	*chantun	+Noun+Masc+Sg
.	.	+Sent

Quai	*quai	+Pron+Dem
trend	trend	+Noun+Fem+Sg
effectueschia	effectuar	+Verb+Conj+3P+Sg
la	il	+Art+Def+Fem+Sg
sperdita	sperdita	+Noun+Fem+Sg
da	da	+Prep
plazzas	plazza	+Noun+Fem+Pl
da	da	+Prep
lavur	lavur	+Noun+Fem+Sg
en	en	+Prep
regiuns	regiun	+Noun+Fem+Pl
periferas	perifer	+Adj+Fem+Pl
dischavantagiadas	dischavantagiar	+Verb+PastPart+Fem+Pl
.	.	+Sent
